"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 09 19:55:02 GMT 2020","Wed Dec 09 19:55:11 GMT 2020","8624","","com.bitpanda.load.task.solution.LoadTest","","com.bitpanda.load.task.solution.LoadTest","getToHomePageTest1","getToHomePageTest1()",""
"passed","Wed Dec 09 19:53:36 GMT 2020","Wed Dec 09 19:53:37 GMT 2020","783","Presentation Test Suite","Shopping cart modal Tests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","modalShouldHaveVisibleProductInformation","modalShouldHaveVisibleProductInformation",""
"skipped","Wed Dec 09 19:55:31 GMT 2020","Wed Dec 09 19:55:31 GMT 2020","0","Api Test Suite","Create spots on map","com.example.api.task.solution.spot.SpotCreationTest","com.example.api.task.solution.spot.SpotCreationTest","createdSpotsShouldHaveProperCoordinates","createdSpotsShouldHaveProperCoordinates",""
"skipped","Wed Dec 09 19:55:32 GMT 2020","Wed Dec 09 19:55:32 GMT 2020","0","Api Test Suite","Delete map","com.example.api.task.solution.map.MapDeleteTest","com.example.api.task.solution.map.MapDeleteTest","userMapListShouldNotContainDeletedMap","userMapListShouldNotContainDeletedMap",""
"failed","Wed Dec 09 19:55:24 GMT 2020","Wed Dec 09 19:55:30 GMT 2020","5729","Api Test Suite","Authentication","com.example.api.task.solution.authenticate.AuthenticationTest","com.example.api.task.solution.authenticate.AuthenticationTest","userShouldAuthenticate","userShouldAuthenticate",""
"passed","Wed Dec 09 19:53:37 GMT 2020","Wed Dec 09 19:53:38 GMT 2020","519","Presentation Test Suite","Shopping cart modal Tests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","clientShouldBeAbleToContinueShopping","clientShouldBeAbleToContinueShopping",""
"passed","Wed Dec 09 19:53:35 GMT 2020","Wed Dec 09 19:53:35 GMT 2020","51","Presentation Test Suite","Shopping cart modal Tests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","modalShouldContainProperProductAttributes","modalShouldContainProperProductAttributes",""
"failed","Wed Dec 09 19:55:32 GMT 2020","Wed Dec 09 19:55:32 GMT 2020","288","Api Test Suite","Delete map","com.example.api.task.solution.map.MapDeleteTest","com.example.api.task.solution.map.MapDeleteTest","userShouldBeAbleToDeleteMap","userShouldBeAbleToDeleteMap",""
"passed","Wed Dec 09 19:53:35 GMT 2020","Wed Dec 09 19:53:35 GMT 2020","420","Presentation Test Suite","Shopping cart modal Tests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","modalShouldHaveProperLabelsForProductInformation","modalShouldHaveProperLabelsForProductInformation",""
"failed","Wed Dec 09 19:55:30 GMT 2020","Wed Dec 09 19:55:30 GMT 2020","440","Api Test Suite","Create map positive path","com.example.api.task.solution.map.PositiveMapCreationTest","com.example.api.task.solution.map.PositiveMapCreationTest","userShouldBeAbleToCreateMap","userShouldBeAbleToCreateMap",""
"skipped","Wed Dec 09 19:55:30 GMT 2020","Wed Dec 09 19:55:30 GMT 2020","2","Api Test Suite","Authentication","com.example.api.task.solution.authenticate.AuthenticationTest","com.example.api.task.solution.authenticate.AuthenticationTest","userShouldReceiveAuthenticationToken","userShouldReceiveAuthenticationToken",""
"passed","Wed Dec 09 19:53:35 GMT 2020","Wed Dec 09 19:53:35 GMT 2020","68","Presentation Test Suite","Shopping cart modal Tests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","modalShouldContainProperProductName","modalShouldContainProperProductName",""
"skipped","Wed Dec 09 19:55:30 GMT 2020","Wed Dec 09 19:55:30 GMT 2020","0","Api Test Suite","Create map positive path","com.example.api.task.solution.map.PositiveMapCreationTest","com.example.api.task.solution.map.PositiveMapCreationTest","createdMapShouldHaveId","createdMapShouldHaveId",""
"passed","Wed Dec 09 19:53:44 GMT 2020","Wed Dec 09 19:53:53 GMT 2020","9344","Presentation Test Suite","Checkout process works correctly","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","clientShouldBeAbleToCreateAccount","clientShouldBeAbleToCreateAccount",""
"skipped","Wed Dec 09 19:55:31 GMT 2020","Wed Dec 09 19:55:31 GMT 2020","1","Api Test Suite","Update spot on map","com.example.api.task.solution.spot.SpotUpdateTest","com.example.api.task.solution.spot.SpotUpdateTest","spotShouldHaveUpdatedCoordinates","spotShouldHaveUpdatedCoordinates",""
"skipped","Wed Dec 09 19:55:30 GMT 2020","Wed Dec 09 19:55:30 GMT 2020","1","Api Test Suite","Create map negative path","com.example.api.task.solution.map.NegativeMapCreationTest","com.example.api.task.solution.map.NegativeMapCreationTest","verificationOfErrorMessageContent","verificationOfErrorMessageContent",""
"skipped","Wed Dec 09 19:55:30 GMT 2020","Wed Dec 09 19:55:30 GMT 2020","1","Api Test Suite","Create map negative path","com.example.api.task.solution.map.NegativeMapCreationTest","com.example.api.task.solution.map.NegativeMapCreationTest","responseShouldHaveErrorMessage","responseShouldHaveErrorMessage",""
