"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Dec 09 20:38:47 GMT 2020","Wed Dec 09 20:38:47 GMT 2020","0","Api Test Suite","Authentication","com.example.api.task.solution.authenticate.AuthenticationTest","com.example.api.task.solution.authenticate.AuthenticationTest","assignAuthTokenToGlobalVariables","assignAuthTokenToGlobalVariables",""
"failed","Wed Dec 09 20:38:48 GMT 2020","Wed Dec 09 20:38:48 GMT 2020","482","Api Test Suite","Create map negative path","com.example.api.task.solution.map.NegativeMapCreationTest","com.example.api.task.solution.map.NegativeMapCreationTest","userShouldBeAbleToCreateMap","userShouldBeAbleToCreateMap",""
"passed","Wed Dec 09 20:36:41 GMT 2020","Wed Dec 09 20:36:41 GMT 2020","96","Presentation Test Suite","Shopping cart modal Tests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","modalShouldContainProperAddedQuantityOfProduct","modalShouldContainProperAddedQuantityOfProduct",""
"skipped","Wed Dec 09 20:38:49 GMT 2020","Wed Dec 09 20:38:49 GMT 2020","1","Api Test Suite","Create spots on map","com.example.api.task.solution.spot.SpotCreationTest","com.example.api.task.solution.spot.SpotCreationTest","createdSpotsShouldHaveProperCoordinates","createdSpotsShouldHaveProperCoordinates",""
"passed","Wed Dec 09 20:36:39 GMT 2020","Wed Dec 09 20:36:41 GMT 2020","1960","Presentation Test Suite","Shopping cart modal Tests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","assureThatShoppingModalAppearsOnHomePage","assureThatShoppingModalAppearsOnHomePage",""
"skipped","Wed Dec 09 20:38:48 GMT 2020","Wed Dec 09 20:38:48 GMT 2020","0","Api Test Suite","Create map positive path","com.example.api.task.solution.map.PositiveMapCreationTest","com.example.api.task.solution.map.PositiveMapCreationTest","createMapShouldHaveProperTitle","createMapShouldHaveProperTitle",""
"passed","Wed Dec 09 20:36:52 GMT 2020","Wed Dec 09 20:37:01 GMT 2020","9072","Presentation Test Suite","Checkout process works correctly","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","clientShouldBeAbleToCreateAccount","clientShouldBeAbleToCreateAccount",""
"passed","Wed Dec 09 20:36:43 GMT 2020","Wed Dec 09 20:36:44 GMT 2020","448","Presentation Test Suite","Shopping cart modal Tests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","clientShouldBeAbleToContinueShopping","clientShouldBeAbleToContinueShopping",""
"broken","Wed Dec 09 20:38:50 GMT 2020","Wed Dec 09 20:38:50 GMT 2020","1","Api Test Suite","Update spot on map","com.example.api.task.solution.spot.SpotUpdateTest","com.example.api.task.solution.spot.SpotUpdateTest","findSpotForUpdate","findSpotForUpdate",""
"passed","Wed Dec 09 20:36:50 GMT 2020","Wed Dec 09 20:36:50 GMT 2020","226","Presentation Test Suite","Checkout process works correctly","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","checkoutSummaryShouldHaveProperProductInfo","checkoutSummaryShouldHaveProperProductInfo",""
"skipped","Wed Dec 09 20:38:48 GMT 2020","Wed Dec 09 20:38:48 GMT 2020","1","Api Test Suite","Create map negative path","com.example.api.task.solution.map.NegativeMapCreationTest","com.example.api.task.solution.map.NegativeMapCreationTest","responseShouldHaveStatusCode400","responseShouldHaveStatusCode400",""
"passed","Wed Dec 09 20:37:02 GMT 2020","Wed Dec 09 20:37:06 GMT 2020","3172","Presentation Test Suite","Checkout process works correctly","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","clientShouldBeAbleToConsentForTermsOfService","clientShouldBeAbleToConsentForTermsOfService",""
"passed","Wed Dec 09 20:36:41 GMT 2020","Wed Dec 09 20:36:41 GMT 2020","39","Presentation Test Suite","Shopping cart modal Tests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","modalShouldContainProperProductAttributes","modalShouldContainProperProductAttributes",""
"passed","Wed Dec 09 20:37:06 GMT 2020","Wed Dec 09 20:37:08 GMT 2020","2939","Presentation Test Suite","Checkout process works correctly","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","clientShouldBeAbleToChoosePaymentByBankWire","clientShouldBeAbleToChoosePaymentByBankWire",""
"skipped","Wed Dec 09 20:38:50 GMT 2020","Wed Dec 09 20:38:50 GMT 2020","0","Api Test Suite","Update spot on map","com.example.api.task.solution.spot.SpotUpdateTest","com.example.api.task.solution.spot.SpotUpdateTest","spotShouldNotHaveUpdatedDescription","spotShouldNotHaveUpdatedDescription",""
"skipped","Wed Dec 09 20:38:48 GMT 2020","Wed Dec 09 20:38:48 GMT 2020","2","Api Test Suite","Create map positive path","com.example.api.task.solution.map.PositiveMapCreationTest","com.example.api.task.solution.map.PositiveMapCreationTest","createMapShouldHaveProperDescription","createMapShouldHaveProperDescription",""
"skipped","Wed Dec 09 20:38:49 GMT 2020","Wed Dec 09 20:38:49 GMT 2020","1","Api Test Suite","Create spots on map","com.example.api.task.solution.spot.SpotCreationTest","com.example.api.task.solution.spot.SpotCreationTest","createdSpotsShouldHaveProperTitle","createdSpotsShouldHaveProperTitle",""
"skipped","Wed Dec 09 20:38:52 GMT 2020","Wed Dec 09 20:38:52 GMT 2020","1","Api Test Suite","Delete map","com.example.api.task.solution.map.MapDeleteTest","com.example.api.task.solution.map.MapDeleteTest","userMapListShouldNotContainDeletedMap","userMapListShouldNotContainDeletedMap",""
