"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 09 22:01:04 GMT 2020","Wed Dec 09 22:01:04 GMT 2020","1","Api Test Suite","Create map negative path","com.example.api.task.solution.map.NegativeMapCreationTest","com.example.api.task.solution.map.NegativeMapCreationTest","responseShouldHaveStatusCode400","responseShouldHaveStatusCode400",""
"passed","Wed Dec 09 21:59:17 GMT 2020","Wed Dec 09 21:59:18 GMT 2020","34","Presentation Test Suite","Shopping cart modal Tests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","modalShouldContainProperProductName","modalShouldContainProperProductName",""
"passed","Wed Dec 09 22:01:04 GMT 2020","Wed Dec 09 22:01:05 GMT 2020","721","Api Test Suite","Create spots on map","com.example.api.task.solution.spot.SpotCreationTest","com.example.api.task.solution.spot.SpotCreationTest","userShouldBeAbleToCreateSpotsOnMap","userShouldBeAbleToCreateSpotsOnMap",""
"failed","Wed Dec 09 22:01:05 GMT 2020","Wed Dec 09 22:01:05 GMT 2020","15","Api Test Suite","Create spots on map","com.example.api.task.solution.spot.SpotCreationTest","com.example.api.task.solution.spot.SpotCreationTest","createdSpotsShouldHaveProperCoordinates","createdSpotsShouldHaveProperCoordinates",""
"passed","Wed Dec 09 21:59:24 GMT 2020","Wed Dec 09 21:59:25 GMT 2020","1117","Presentation Test Suite","Checkout process works correctly","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","clientShouldBeAbleToProceedToCheckout","clientShouldBeAbleToProceedToCheckout",""
"passed","Wed Dec 09 22:01:05 GMT 2020","Wed Dec 09 22:01:05 GMT 2020","1","Api Test Suite","Create spots on map","com.example.api.task.solution.spot.SpotCreationTest","com.example.api.task.solution.spot.SpotCreationTest","createdSpotsShouldHaveProperTitle","createdSpotsShouldHaveProperTitle",""
"passed","Wed Dec 09 22:01:04 GMT 2020","Wed Dec 09 22:01:04 GMT 2020","183","Api Test Suite","Create map negative path","com.example.api.task.solution.map.NegativeMapCreationTest","com.example.api.task.solution.map.NegativeMapCreationTest","userShouldBeAbleToCreateMap","userShouldBeAbleToCreateMap",""
"passed","Wed Dec 09 22:01:04 GMT 2020","Wed Dec 09 22:01:04 GMT 2020","4","Api Test Suite","Create map positive path","com.example.api.task.solution.map.PositiveMapCreationTest","com.example.api.task.solution.map.PositiveMapCreationTest","createMapShouldHaveProperDescription","createMapShouldHaveProperDescription",""
"passed","Wed Dec 09 21:59:25 GMT 2020","Wed Dec 09 21:59:25 GMT 2020","256","Presentation Test Suite","Checkout process works correctly","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","checkoutSummaryShouldHaveProperProductInfo","checkoutSummaryShouldHaveProperProductInfo",""
"passed","Wed Dec 09 22:01:04 GMT 2020","Wed Dec 09 22:01:04 GMT 2020","1","Api Test Suite","Create map positive path","com.example.api.task.solution.map.PositiveMapCreationTest","com.example.api.task.solution.map.PositiveMapCreationTest","createMapShouldHaveProperTitle","createMapShouldHaveProperTitle",""
"passed","Wed Dec 09 22:01:06 GMT 2020","Wed Dec 09 22:01:06 GMT 2020","2","Api Test Suite","Update spot on map","com.example.api.task.solution.spot.SpotUpdateTest","com.example.api.task.solution.spot.SpotUpdateTest","spotShouldNotHaveUpdatedDescription","spotShouldNotHaveUpdatedDescription",""
"passed","Wed Dec 09 21:59:54 GMT 2020","Wed Dec 09 22:00:48 GMT 2020","54797","","com.bitpanda.load.task.solution.load.runner.LoadRunnerTest","","com.bitpanda.load.task.solution.load.runner.LoadRunnerTest","testTheLoad","testTheLoad()",""
"passed","Wed Dec 09 22:01:04 GMT 2020","Wed Dec 09 22:01:04 GMT 2020","1","Api Test Suite","Create map negative path","com.example.api.task.solution.map.NegativeMapCreationTest","com.example.api.task.solution.map.NegativeMapCreationTest","responseShouldHaveErrorMessage","responseShouldHaveErrorMessage",""
"passed","Wed Dec 09 21:59:34 GMT 2020","Wed Dec 09 21:59:35 GMT 2020","946","Presentation Test Suite","Checkout process works correctly","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","clientShouldBeAbleToVerifyDeliveryAndBillingAddress","clientShouldBeAbleToVerifyDeliveryAndBillingAddress",""
"passed","Wed Dec 09 21:59:22 GMT 2020","Wed Dec 09 21:59:24 GMT 2020","1519","Presentation Test Suite","Checkout process works correctly","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","clientShouldBeAbleToAddProductToCard","clientShouldBeAbleToAddProductToCard",""
"passed","Wed Dec 09 22:01:04 GMT 2020","Wed Dec 09 22:01:04 GMT 2020","7","Api Test Suite","Authentication","com.example.api.task.solution.authenticate.AuthenticationTest","com.example.api.task.solution.authenticate.AuthenticationTest","userShouldReceiveAuthenticationToken","userShouldReceiveAuthenticationToken",""
"passed","Wed Dec 09 22:01:06 GMT 2020","Wed Dec 09 22:01:07 GMT 2020","3","Api Test Suite","Delete map","com.example.api.task.solution.map.MapDeleteTest","com.example.api.task.solution.map.MapDeleteTest","userMapListShouldNotContainDeletedMap","userMapListShouldNotContainDeletedMap",""
"passed","Wed Dec 09 21:59:26 GMT 2020","Wed Dec 09 21:59:34 GMT 2020","7668","Presentation Test Suite","Checkout process works correctly","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","clientShouldBeAbleToCreateAccount","clientShouldBeAbleToCreateAccount",""
"failed","Wed Dec 09 22:01:06 GMT 2020","Wed Dec 09 22:01:06 GMT 2020","267","Api Test Suite","Get every spot from every owned map","com.example.api.task.solution.spot.GetSpotsFromAllMapsTest","com.example.api.task.solution.spot.GetSpotsFromAllMapsTest","userShouldBeAbleToGetSpotsFromAllOwnedMaps","userShouldBeAbleToGetSpotsFromAllOwnedMaps",""
"failed","Wed Dec 09 22:01:06 GMT 2020","Wed Dec 09 22:01:06 GMT 2020","3","Api Test Suite","Update spot on map","com.example.api.task.solution.spot.SpotUpdateTest","com.example.api.task.solution.spot.SpotUpdateTest","spotShouldHaveUpdatedCoordinates","spotShouldHaveUpdatedCoordinates",""
"passed","Wed Dec 09 21:59:15 GMT 2020","Wed Dec 09 21:59:17 GMT 2020","1805","Presentation Test Suite","Shopping cart modal Tests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","assureThatShoppingModalAppearsOnHomePage","assureThatShoppingModalAppearsOnHomePage",""
"passed","Wed Dec 09 21:59:38 GMT 2020","Wed Dec 09 21:59:41 GMT 2020","2518","Presentation Test Suite","Checkout process works correctly","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","clientShouldBeAbleToCompleteOrder","clientShouldBeAbleToCompleteOrder",""
"passed","Wed Dec 09 21:59:18 GMT 2020","Wed Dec 09 21:59:19 GMT 2020","884","Presentation Test Suite","Shopping cart modal Tests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","modalShouldHaveVisibleCurrentCartInformation","modalShouldHaveVisibleCurrentCartInformation",""
"passed","Wed Dec 09 22:01:05 GMT 2020","Wed Dec 09 22:01:05 GMT 2020","1","Api Test Suite","Create spots on map","com.example.api.task.solution.spot.SpotCreationTest","com.example.api.task.solution.spot.SpotCreationTest","createdSpotsShouldHaveProperDescription","createdSpotsShouldHaveProperDescription",""
"passed","Wed Dec 09 21:59:35 GMT 2020","Wed Dec 09 21:59:37 GMT 2020","1771","Presentation Test Suite","Checkout process works correctly","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","clientShouldBeAbleToConsentForTermsOfService","clientShouldBeAbleToConsentForTermsOfService",""
"passed","Wed Dec 09 22:01:06 GMT 2020","Wed Dec 09 22:01:06 GMT 2020","549","Api Test Suite","Delete map","com.example.api.task.solution.map.MapDeleteTest","com.example.api.task.solution.map.MapDeleteTest","userShouldBeAbleToDeleteMap","userShouldBeAbleToDeleteMap",""
"passed","Wed Dec 09 22:01:06 GMT 2020","Wed Dec 09 22:01:06 GMT 2020","1","Api Test Suite","Update spot on map","com.example.api.task.solution.spot.SpotUpdateTest","com.example.api.task.solution.spot.SpotUpdateTest","spotShouldHaveUpdatedTitle","spotShouldHaveUpdatedTitle",""
"passed","Wed Dec 09 21:59:19 GMT 2020","Wed Dec 09 21:59:20 GMT 2020","442","Presentation Test Suite","Shopping cart modal Tests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","clientShouldBeAbleToContinueShopping","clientShouldBeAbleToContinueShopping",""
"passed","Wed Dec 09 22:00:58 GMT 2020","Wed Dec 09 22:01:04 GMT 2020","5431","Api Test Suite","Authentication","com.example.api.task.solution.authenticate.AuthenticationTest","com.example.api.task.solution.authenticate.AuthenticationTest","userShouldAuthenticate","userShouldAuthenticate",""
"passed","Wed Dec 09 22:00:30 GMT 2020","Wed Dec 09 22:00:43 GMT 2020","13298","","com.bitpanda.load.task.solution.LoadTest","","com.bitpanda.load.task.solution.LoadTest","getToHomePageTest1","getToHomePageTest1()",""
"passed","Wed Dec 09 22:01:04 GMT 2020","Wed Dec 09 22:01:04 GMT 2020","0","Api Test Suite","Create map positive path","com.example.api.task.solution.map.PositiveMapCreationTest","com.example.api.task.solution.map.PositiveMapCreationTest","createdMapShouldHaveId","createdMapShouldHaveId",""
"passed","Wed Dec 09 21:59:19 GMT 2020","Wed Dec 09 21:59:19 GMT 2020","513","Presentation Test Suite","Shopping cart modal Tests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","modalShouldHaveVisibleProductInformation","modalShouldHaveVisibleProductInformation",""
"passed","Wed Dec 09 22:01:04 GMT 2020","Wed Dec 09 22:01:04 GMT 2020","359","Api Test Suite","Create map positive path","com.example.api.task.solution.map.PositiveMapCreationTest","com.example.api.task.solution.map.PositiveMapCreationTest","userShouldBeAbleToCreateMap","userShouldBeAbleToCreateMap",""
"passed","Wed Dec 09 22:01:04 GMT 2020","Wed Dec 09 22:01:04 GMT 2020","1","Api Test Suite","Create map negative path","com.example.api.task.solution.map.NegativeMapCreationTest","com.example.api.task.solution.map.NegativeMapCreationTest","verificationOfErrorMessageContent","verificationOfErrorMessageContent",""
"passed","Wed Dec 09 21:59:17 GMT 2020","Wed Dec 09 21:59:17 GMT 2020","77","Presentation Test Suite","Shopping cart modal Tests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","modalShouldContainProperProductAttributes","modalShouldContainProperProductAttributes",""
"passed","Wed Dec 09 21:59:37 GMT 2020","Wed Dec 09 21:59:38 GMT 2020","1832","Presentation Test Suite","Checkout process works correctly","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","com.example.bitpanda.ui.task.solution.CheckoutProcessTest","clientShouldBeAbleToChoosePaymentByBankWire","clientShouldBeAbleToChoosePaymentByBankWire",""
"passed","Wed Dec 09 21:59:18 GMT 2020","Wed Dec 09 21:59:18 GMT 2020","89","Presentation Test Suite","Shopping cart modal Tests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","com.example.bitpanda.ui.task.solution.ShoppingCartModalTests","modalShouldHaveMessageForSuccessfullyAddedProductToCart","modalShouldHaveMessageForSuccessfullyAddedProductToCart",""
